delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,cycle_id,t_state,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,k_p_m2_s,growth_strain
0.0,3225862240951.3765,4938404644186.555,2995745446915.2373,3236378304210.6924,4964709303664.851,3265992308248.736,1,min,23.879069890393726,200.0,150.0,3.162277660168379e-13,22.879069890393726
875.0,3228649741165.1064,4938008908632.006,3001746934455.8735,3241765129016.985,4963589637663.798,3270391338738.1445,1,max,23.879069890393726,200.0,150.0,3.162277660168379e-13,22.879069890393726
0.0,65867526448.60507,97017274834.99194,1434731103.3646493,66264185318.61998,98191394384.27927,1586977426.0848958,2,min,33.75529525364304,200.0,150.0,3.162277660168379e-13,0.4135933856964172
875.0,68599394773.177864,96581266941.43906,1616107230.9561524,71578112132.58084,96978837572.82869,1767717571.11022,2,max,33.75529525364304,200.0,150.0,3.162277660168379e-13,0.4135933856964172
0.0,36953717923.594444,52411493218.99112,519068397.57118356,37230075265.21449,53311200439.98185,580371182.182592,3,min,41.33557712783172,200.0,150.0,3.162277660168379e-13,0.2245657108678549
875.0,39671835070.102264,51980210464.44392,648304320.5620015,42520658450.74992,52098438474.23316,723300403.4096019,3,max,41.33557712783172,200.0,150.0,3.162277660168379e-13,0.2245657108678549
0.0,26267533597.15726,36904994747.81949,286115255.6995361,26491958102.78087,37634356626.67575,322659730.5756169,4,min,47.72672118762437,200.0,150.0,3.162277660168379e-13,0.15461605967246603
875.0,28974499140.989723,36465396693.30172,394211315.11318785,31756470327.26395,36391430544.78846,450273948.6718734,4,max,47.72672118762437,200.0,150.0,3.162277660168379e-13,0.15461605967246603
0.0,21150894432.90813,30268707075.211998,189372725.16266915,21341724524.16402,30867742240.79387,214994288.15994012,5,min,53.35775383345462,200.0,150.0,3.162277660168379e-13,0.11798490459240661
875.0,23839149770.094166,29796314616.02464,285500057.92512655,26559953839.565697,29534392819.864906,333913810.2090764,5,max,53.35775383345462,200.0,150.0,3.162277660168379e-13,0.11798490459240661
0.0,17474207060.13132,24981141876.93603,136143101.82230952,17637782577.838566,25502340251.42319,155505263.11146045,6,min,58.448779910121736,200.0,150.0,3.162277660168379e-13,0.09541305079216257
875.0,20156661535.78339,24500436497.658844,224377427.76598525,22835152665.741272,24139979926.528053,268741305.3794462,6,max,58.448779910121736,200.0,150.0,3.162277660168379e-13,0.09541305079216257
0.0,14933533489.447853,21351296394.919117,103900091.35756949,15075965113.756641,21813165213.14775,119312559.96327667,7,min,63.13057778772628,200.0,150.0,3.162277660168379e-13,0.08010086583165417
875.0,17611714172.77848,20863151038.43097,186456088.28659973,20255064726.603806,20424851977.399353,228473749.33169842,7,max,63.13057778772628,200.0,150.0,3.162277660168379e-13,0.08010086583165417
0.0,13067687832.446337,18697354987.13144,82636932.7354375,13193114680.320744,19112272772.27195,95348810.85434176,8,min,67.48836811364212,200.0,150.0,3.162277660168379e-13,0.06902820279213531
875.0,15742599794.648857,18202445140.803734,160867592.92791697,18355866030.92322,17700404083.69874,201417003.22329974,8,max,67.48836811364212,200.0,150.0,3.162277660168379e-13,0.06902820279213531
0.0,11636562123.017172,16667738511.726105,67745543.83151644,11747959702.908068,17044456454.25562,78503870.21765853,9,min,71.58135098943562,200.0,150.0,3.162277660168379e-13,0.06064723433379535
875.0,14308902402.147654,16166610797.393637,142546013.21570754,16895853198.852833,15610975542.22558,182128006.65550286,9,max,71.58135098943562,200.0,150.0,3.162277660168379e-13,0.06064723433379535
0.0,10502444984.194532,15062386835.484245,56838274.97039077,10602042913.901398,15407350433.312351,66123225.297026426,10,min,75.45263274600221,200.0,150.0,3.162277660168379e-13,0.05408226728129138
875.0,13172716652.993185,14555496916.370703,128835749.97798164,15736272497.56657,13953871743.264336,167757496.07241154,10,max,75.45263274600221,200.0,150.0,3.162277660168379e-13,0.05408226728129138
