target,model,r2_mean,r2_std,mae_mean,mae_std
ysz_tgo_max_sigma_yy,ridge,0.9570969005678742,0.035603284776970216,161778791.8696012,53177349.76686607
ysz_tgo_max_sigma_yy,rf,0.5221216235894459,0.34119790217993545,583821672.5422401,156486136.43456027
ysz_tgo_max_tau_xy,ridge,0.9333334155218986,0.06575424726735234,23321536.510791093,8669259.56423182
ysz_tgo_max_tau_xy,rf,0.4791569231230867,0.3538571795872683,64855417.95179091,14529409.428319352
ysz_tgo_mean_sed,ridge,0.9207006821057473,0.043800081831879806,5196258.092448535,808321.111169187
ysz_tgo_mean_sed,rf,0.6089912556685861,0.33358382109603024,11376167.056637999,3759405.557843666
tgo_bc_max_sigma_yy,ridge,0.9573034260031177,0.03506214734565237,161462684.10506982,52029282.320705146
tgo_bc_max_sigma_yy,rf,0.513989731549173,0.34741680029549804,590966404.0482187,160126981.4142094
tgo_bc_max_tau_xy,ridge,0.9521303546539395,0.024007633088721666,26927985.75229308,7293266.14492923
tgo_bc_max_tau_xy,rf,0.5349266016823169,0.2670979940863565,84342609.02172527,25544745.045602433
tgo_bc_mean_sed,ridge,0.9208087518415917,0.043638523465579684,5205994.396973841,806119.1471863132
tgo_bc_mean_sed,rf,0.603832066710319,0.33566839072154925,11447281.749679606,3786960.797201447
