delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,cycle_id,t_state,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,k_p_m2_s,growth_strain,growth_eigenstrain_coeff,arrhenius_growth,kp0_m2_s,Q_J_mol,roughness_amplitude_um,roughness_wavelength_um
0.0,5103628754.498945,7464710803.999574,16641837.079144333,5220138471.871267,7698215522.454899,19837931.509475935,1,min,106.38345134313863,200.0,150.0,7.505442071642076e-12,0.024619781145931035,0.001,False,,,9.164277543740575,223.81009101869537
920.6060399024353,7908263360.133793,6890278988.411063,78844598.96635133,10517223432.842785,6015677633.205551,120283623.98564087,1,max,106.38345134313863,200.0,150.0,7.505442071642076e-12,0.024619781145931035,0.001,False,,,9.164277543740575,223.81009101869537
0.0,2398202800.2247014,3558805555.5121107,4290979.052449274,2434045519.542736,3652430739.776934,5255667.867907917,2,min,150.39160566684313,200.0,150.0,7.505442071642076e-12,0.01059825817055884,0.001,False,,,9.164277543740575,223.81009101869537
920.6060399024353,5198809715.89826,2931900531.982619,56261063.73315766,7602678877.115339,1789566362.5676718,99061052.1486539,2,max,150.39160566684313,200.0,150.0,7.505442071642076e-12,0.01059825817055884,0.001,False,,,9.164277543740575,223.81009101869537
0.0,1945617326.5253026,2901744710.246651,3040004.7342850314,1962566137.0187075,2967503005.870723,3777464.0764328544,3,min,184.1679434386575,200.0,150.0,7.505442071642076e-12,0.008134182250148808,0.001,False,,,9.164277543740575,223.81009101869537
920.6060399024353,4744722104.165096,2241999841.3473587,52817284.195349716,7042764581.546213,988583897.3608582,96205909.38348697,3,max,184.1679434386575,200.0,150.0,7.505442071642076e-12,0.008134182250148808,0.001,False,,,9.164277543740575,223.81009101869537
0.0,1709868796.8197112,2553047696.201015,2452326.2754847286,1716054219.6156533,2603826574.4063854,3073794.247936164,4,min,212.64530967269852,200.0,150.0,7.505442071642076e-12,0.006858058103185549,0.001,False,,,9.164277543740575,223.81009101869537
920.6060399024353,4507628868.468843,1869420380.7121935,50873462.73614864,6726876662.879356,538478273.1135682,94695644.29253626,4,max,212.64530967269852,200.0,150.0,7.505442071642076e-12,0.006858058103185549,0.001,False,,,9.164277543740575,223.81009101869537
0.0,1557722048.272881,2324179610.5615516,2094052.4036534387,1556674750.2116456,2365283596.115359,2639071.9338511955,5,min,237.73561799017654,200.0,150.0,7.505442071642076e-12,0.006042370311002124,0.001,False,,,9.164277543740575,223.81009101869537
920.6060399024353,4353998754.870231,1621809339.9464889,49523740.535029024,6509688486.404332,230794496.3780365,93701015.53114273,5,max,237.73561799017654,200.0,150.0,7.505442071642076e-12,0.006042370311002124,0.001,False,,,9.164277543740575,223.81009101869537
0.0,1448521852.3591173,2157549136.808744,1846764.9543083531,1442195601.1819758,2191795527.9925623,2335346.501628497,6,min,260.419700477027,200.0,150.0,7.505442071642076e-12,0.005462891281227817,0.001,False,,,9.164277543740575,223.81009101869537
920.6060399024353,4243151892.560156,1439764120.7412503,48493365.98536451,6345300208.308296,149424956.129877,92975829.57402325,6,max,260.419700477027,200.0,150.0,7.505442071642076e-12,0.005462891281227817,0.001,False,,,9.164277543740575,223.81009101869537
0.0,1364930568.2717862,2028453834.3849506,1663079.5129974645,1354551672.6937184,2057550698.7370055,2107272.880246778,7,min,281.2803170005284,200.0,150.0,7.505442071642076e-12,0.005023755322408688,0.001,False,,,9.164277543740575,223.81009101869537
920.6060399024353,4157774397.1459503,1297580525.2042859,47662572.77920374,6260067524.296768,184337634.54352477,92414670.48610544,7,max,281.2803170005284,200.0,150.0,7.505442071642076e-12,0.005023755322408688,0.001,False,,,9.164277543740575,223.81009101869537
0.0,1150288026.6533935,1753621155.622625,1486694.5082452716,1140339792.155239,1784223956.784735,1897243.6530303902,8,min,300.6972116054471,200.0,150.0,7.505442071642076e-12,0.004676071174896229,0.001,False,,,9.164277543740575,223.81009101869537
920.6060399024353,4002605269.286459,1084035805.6121392,46942818.21348873,6229495684.918132,317049712.0869221,91965155.96280804,8,max,300.6972116054471,200.0,150.0,7.505442071642076e-12,0.004676071174896229,0.001,False,,,9.164277543740575,223.81009101869537
0.0,1242976604.9936376,1837451017.6944919,1404172.0330557504,1226759065.928119,1859287550.9774866,1781441.3602437237,9,min,318.9341772257472,200.0,150.0,7.505442071642076e-12,0.004391914927171535,0.001,False,,,9.164277543740575,223.81009101869537
920.6060399024353,4031943653.960328,1085145870.4611366,46373533.96461862,6202928171.167066,465069830.83500355,91589114.0214499,9,max,318.9341772257472,200.0,150.0,7.505442071642076e-12,0.004391914927171535,0.001,False,,,9.164277543740575,223.81009101869537
0.0,1196414232.7242484,1763641319.9562988,1308326.9564683912,1178026363.7953799,1782815637.2097957,1659332.8669476414,10,min,336.1832918781622,200.0,150.0,7.505442071642076e-12,0.004154015843409157,0.001,False,,,9.164277543740575,223.81009101869537
920.6060399024353,3983337910.452666,1002316744.8419169,45854206.862214044,6181405988.996624,576649589.6935722,91272981.43497086,10,max,336.1832918781622,200.0,150.0,7.505442071642076e-12,0.004154015843409157,0.001,False,,,9.164277543740575,223.81009101869537
